ALPHA_J2000,BH_MASS,DELTA_J2000,FLUXERR_F115W,FLUXERR_F150W,FLUXERR_F200W,FLUXERR_F277W,FLUXERR_F356W,FLUXERR_F444W,FLUXERR_F606W,FLUXERR_F814W,FLUX_F115W,FLUX_F150W,FLUX_F200W,FLUX_F277W,FLUX_F356W,FLUX_F444W,FLUX_F606W,FLUX_F814W,REDSHIFT,SURVEY,SURVEY_ID
214.8956219735933,8.86858773734542,52.85650036823181,3.660742913546198e-08,8.777499830381336e-08,2.395239971669779e-07,2.834340829169895e-07,3.09670842032351e-07,3.6318782833974266e-07,3.8018190043205125e-09,1.501988142999118e-08,7.321485827092395e-07,1.7554999660762671e-06,4.790479943339558e-06,5.66868165833979e-06,6.19341684064702e-06,7.263756566794854e-06,7.603638008641025e-08,3.003976285998236e-07,3.2516446057467094,CEERSP6,5480
34.23241919483544,5.3710911142490625,-5.2806229165735346,2.629298445629904e-09,2.4498797514035482e-09,1.9497984556819995e-09,1.6065846823121373e-09,3.0846400696088874e-09,4.1306149250890385e-09,5.22588974079673e-09,4.902648770708535e-09,3.3440081187703015e-09,3.527371981011172e-09,9.97594476929741e-09,2.3432864718867712e-08,6.169280139217775e-08,8.261229850178078e-08,-8.2245313523911e-10,5.929101468196221e-09,4.6561448148506,PRIMER-UDS,57337
53.12653548034779,6.745638709664096,-27.818093084743555,1.4529249836106347e-09,1.2426215753457122e-09,1.3114441693565258e-09,1.6282782357107028e-09,4.31858158902542e-09,6.317518038748271e-09,2.194904089267603e-09,1.616581224485265e-09,2.9058499672212697e-08,2.4852431506914244e-08,2.6228883387130514e-08,3.2565564714214054e-08,8.637163178050842e-08,1.2635036077496542e-07,2.601721637961797e-09,1.235088265744014e-08,5.919054204109247,JADES-DR3-GS-East,37806
53.16872457865232,5.566142714633092,-27.81519672140946,5.65253430650502e-09,6.17637104981775e-09,7.635883390745762e-09,1.493168202565695e-08,9.401423113567635e-09,4.7820026787465176e-09,1.704106162872057e-09,4.988909454763156e-09,1.130506861301004e-07,1.23527420996355e-07,1.5271766781491525e-07,2.98633640513139e-07,1.880284622713527e-07,9.564005357493036e-08,3.408212325744114e-08,9.977818909526311e-08,4.0232926264174305,JADES-DR3-GS-East,16066
214.85909158858612,6.12252155258085,52.7816296171659,1.8104503269146017e-09,1.7148631519974162e-09,1.960959513645583e-09,1.872080394414992e-09,6.302785734480003e-09,2.598864861075681e-09,2.5175331837307217e-09,3.3150529850618764e-09,1.716603045009446e-08,1.9896142690179516e-08,2.5151950640780292e-08,3.744160788829984e-08,1.2605571468960006e-07,5.197729722151362e-08,5.687278954936087e-09,3.827584033992631e-09,6.719084546201944,CEERSP10,3691
53.12102581124192,5.319021876490657,-27.81599454662058,1.1939841199564448e-09,1.031924325108306e-09,1.0478906897357507e-09,1.9851180542238903e-09,1.332865134673095e-09,1.0728608423783165e-09,1.6853830742508076e-09,1.7866599449785853e-09,2.3879682399128897e-08,2.0638486502166122e-08,2.0957813794715016e-08,3.9702361084477805e-08,2.66573026934619e-08,2.145721684756633e-08,-7.330350099972743e-10,2.583305627944743e-08,4.929483717024197,JADES-DR3-GS-East,41218
189.23812830965022,7.002198173548978,62.136978507447054,9.194454755617496e-09,8.662431267908087e-09,1.068007702515204e-08,2.220839038844511e-08,1.623484781586779e-08,8.576109375714702e-09,2.1374329045677615e-09,7.093428246987133e-09,1.8388909511234993e-07,1.7324862535816175e-07,2.1360154050304078e-07,4.441678077689021e-07,3.246969563173558e-07,1.7152218751429404e-07,2.4626783079024475e-08,1.4186856493974265e-07,4.701443464015267,JADES-DR3-GN-Deep,29048
189.3003204442303,5.234046801720675,62.14470669843081,3.825142908740539e-09,4.313505218709274e-09,6.501170666963309e-09,4.664855004328428e-09,3.370158416775895e-09,3.5796912392153913e-09,nan,4.574288261929084e-09,7.650285817481079e-08,8.627010437418547e-08,1.300234133392662e-07,9.329710008656856e-08,6.74031683355179e-08,7.159382478430782e-08,0.0,9.148576523858168e-08,2.7070481287719765,JADES-DR3-GN-Deep,16313
189.29505071849465,7.260023342354851,62.193581853813704,2.580430722248306e-09,3.098603146451813e-09,9.72594072504378e-09,1.8415817912760036e-08,1.5049394066692996e-08,2.0132165475230523e-08,2.1383585759615412e-09,1.717024311142281e-09,5.1608614444966126e-08,6.197206292903627e-08,1.9451881450087558e-07,3.6831635825520073e-07,3.0098788133386e-07,4.0264330950461045e-07,2.7877143901117187e-08,3.434048622284562e-08,3.4296688579869317,JADES-DR3-GN-Deep,6999
189.22913490502512,8.303272447353086,62.14619643026963,3.185779308773739e-09,3.782145507011583e-09,6.551297200261936e-09,3.2533376781300165e-08,9.232023591861529e-08,1.6830126277931594e-07,2.0380694011087566e-09,2.4521904623642716e-09,6.371558617547478e-08,7.564291014023165e-08,1.3102594400523872e-07,6.506675356260033e-07,1.846404718372306e-06,3.3660252555863186e-06,5.211521796612721e-09,3.451661718722572e-08,5.041315472105793,JADES-DR3-GN-Deep,26895
189.17787760160152,5.4989545173094925,62.26537006417892,3.828843884556703e-09,3.900171379368612e-09,4.06464385216287e-09,9.528560762743166e-09,6.055943830040764e-09,3.1923055781481174e-09,1.7169690064438472e-09,3.2725616371489653e-09,7.657687769113406e-08,7.800342758737225e-08,8.129287704325739e-08,1.905712152548633e-07,1.2111887660081528e-07,6.384611156296235e-08,3.4339380128876946e-08,6.545123274297931e-08,4.161901181822647,JADES-DR3-GN-Medium,5783
34.36302889921212,7.167062726538311,-5.3061177766487395,5.965535738043423e-09,1.0757770344559014e-08,2.38544007976803e-08,4.188635738792483e-08,6.710729766957978e-08,7.970402457301196e-08,nan,nan,1.0303711139013257e-07,2.1515540689118027e-07,4.77088015953606e-07,8.377271477584967e-07,1.3421459533915956e-06,1.594080491460239e-06,0.0,0.0,3.9825178500302503,PRIMER-UDS,19882
34.34382619981404,6.725180146521976,-5.2954311314440385,1.2144557840399273e-08,1.486077166692906e-08,1.8026033398085884e-08,2.7818346534953097e-08,2.4412511043727078e-08,1.3985497744078821e-08,nan,nan,2.4289115680798545e-07,2.972154333385812e-07,3.605206679617177e-07,5.56366930699062e-07,4.882502208745416e-07,2.7970995488157643e-07,0.0,0.0,3.8987542669432527,PRIMER-UDS,33630
34.33163105814625,6.605015367027784,-5.260589525216463,8.829669892821789e-09,1.009181013252677e-08,1.4451458509699661e-08,2.282442448869438e-08,2.772720214806062e-08,2.4966259422436483e-08,3.3231015418397676e-09,9.831516602651828e-09,1.7659339785643576e-07,2.0183620265053539e-07,2.890291701939932e-07,4.564884897738876e-07,5.545440429612124e-07,4.993251884487297e-07,5.75070627424537e-08,1.966303320530366e-07,4.367358517680705,PRIMER-UDS,82455
34.413489733007495,6.682776833851115,-5.2910479472597585,3.6970585397762056e-09,2.9138215952475383e-09,4.857385905560284e-09,1.939314402571531e-08,3.536647668988463e-08,4.621413505441929e-08,nan,5.6479062198225465e-09,1.2479127231924733e-08,3.09375040739722e-08,9.714771811120567e-08,3.8786288051430623e-07,7.073295337976926e-07,9.242827010883858e-07,0.0,8.029246181630007e-09,3.9765743667461333,PRIMER-UDS,38176
34.29634402926602,6.2670813826227505,-5.268655383267462,8.390109236058134e-09,1.0109488743564243e-08,1.4909151859074884e-08,2.879884957529463e-08,3.048689670856975e-08,2.3893495058916766e-08,3.3169855800344338e-09,9.504102896270691e-09,1.678021847211627e-07,2.0218977487128484e-07,2.9818303718149766e-07,5.759769915058926e-07,6.09737934171395e-07,4.778699011783354e-07,5.763281791439603e-08,1.9008205792541382e-07,3.999168563502095,PRIMER-UDS,72188
34.408964322657674,6.902533166793538,-5.148425234162998,3.674765389670735e-09,1.0637065172631036e-08,2.9969980385028167e-08,6.36332768716412e-08,1.1537605267954408e-07,1.6331746333977762e-07,4.1412770714385754e-09,3.73447210840495e-09,5.5282944137608206e-08,2.127413034526207e-07,5.993996077005634e-07,1.272665537432824e-06,2.3075210535908817e-06,3.266349266795553e-06,-1.2935901091334476e-09,9.602298266526126e-10,2.291371498749341,PRIMER-UDS,216681
189.11083972291658,5.917518528190947,62.24553909538641,2.70863496107288e-08,2.285591533228901e-08,2.3252801702845453e-08,2.359950985565298e-08,1.7312090569797623e-08,1.3611847196129439e-08,1.6030286366691158e-08,2.9674779475673618e-08,5.41726992214576e-07,4.5711830664578014e-07,4.650560340569091e-07,4.7199019711305953e-07,3.462418113959525e-07,2.722369439225888e-07,3.2060572733382317e-07,5.934955895134723e-07,0.6266205014438273,JADES-DR3-GN-Medium,14150
189.08617853958702,5.642578170705035,62.28268354748886,5.752820140482684e-08,7.022332002927698e-08,7.10284928834276e-08,8.053539564644696e-08,7.851164521727322e-08,8.516786997348745e-08,3.7347208510006025e-08,4.1453461324640444e-08,1.1505640280965368e-06,1.4044664005855396e-06,1.420569857668552e-06,1.6107079129289391e-06,1.5702329043454642e-06,1.703357399469749e-06,7.469441702001206e-07,8.290692264928088e-07,1.6754942064311105,JADES-DR3-GN-Medium,12007
189.1969055963434,6.831552722195587,62.28411499890695,9.57097671440624e-09,2.890299897084968e-08,5.969703451608993e-08,1.1208566330149895e-07,1.7797848204976e-07,2.4131005571289884e-07,1.9260199978432365e-09,2.091905014670711e-09,1.914195342881248e-07,5.780599794169936e-07,1.1939406903217987e-06,2.241713266029979e-06,3.5595696409951995e-06,4.8262011142579775e-06,1.1996268790661445e-08,4.183810029341421e-08,2.31952056680547,JADES-DR3-GN-Medium,1847
189.13510388813293,4.902105665451624,62.29786895988608,4.440156856646819e-09,5.381142786725396e-09,1.1067528030131479e-08,6.687528551062686e-09,3.80901366850032e-09,4.751507677003738e-09,3.994625368047633e-09,3.879251916823521e-09,8.880313713293638e-08,1.0762285573450792e-07,2.2135056060262956e-07,1.3375057102125372e-07,7.61802733700064e-08,9.503015354007477e-08,7.989250736095265e-08,7.758503833647041e-08,3.1294157422138777,JADES-DR3-GN-Medium,6191
189.0798489596527,6.760958564385107,62.256476329734625,4.384380105406408e-09,4.798027004846032e-09,5.04925699591478e-09,7.557023441961619e-09,1.1267506981932917e-08,1.0036744428576803e-08,2.118346507501364e-09,1.372333969051519e-09,8.768760210812816e-08,9.596054009692064e-08,1.009851399182956e-07,1.5114046883923238e-07,2.2535013963865836e-07,2.0073488857153606e-07,-1.840349123049254e-09,3.404554183521585e-09,6.756534894691736,JADES-DR3-GN-Medium,16639
53.1858467600794,7.1046146669308685,-27.810022514736758,3.4249040750529826e-08,6.389826097338973e-08,9.165085626185604e-08,1.3515988586839322e-07,2.063665380943686e-07,2.8229922318709086e-07,1.4841434541413897e-08,2.2908953178317702e-08,6.849808150105965e-07,1.2779652194677945e-06,1.8330171252371208e-06,2.7031977173678646e-06,4.127330761887372e-06,5.645984463741818e-06,2.9682869082827795e-07,4.58179063566354e-07,2.590422920845766,JADES-DR3-GS-East,8231
53.103194777477604,5.70818909445884,-27.74493868528464,5.143915056484885e-09,5.6037915684536325e-09,8.653637425502822e-09,1.7791247632644772e-08,1.7147429587529464e-08,1.288131416576532e-08,2.119417685107932e-09,2.6820519479455527e-09,1.028783011296977e-07,1.1207583136907266e-07,1.7307274851005642e-07,3.5582495265289547e-07,3.4294859175058925e-07,2.576262833153064e-07,4.908105338120588e-09,5.364103895891105e-08,4.853279502428629,JADES-DR3-GS-North,5654
53.160666332686844,5.55087772300023,-27.791820989242186,1.7704991815480254e-08,3.474524918446014e-08,4.342217786369146e-08,5.001505708153422e-08,5.692748227009974e-08,5.974626384451383e-08,9.469175504785245e-09,1.2324696976983635e-08,3.540998363096051e-07,6.949049836892028e-07,8.684435572738292e-07,1.0003011416306844e-06,1.1385496454019948e-06,1.1949252768902765e-06,1.893835100957049e-07,2.464939395396727e-07,2.6408876770692564,JADES-DR3-GS-East,26730
53.13107685355637,5.337002060397684,-27.790378605573927,2.2495577889125197e-08,2.8640238391137888e-08,5.1984833368359966e-08,3.56026033318397e-08,2.613594921966481e-08,2.8579271063772066e-08,1.4329719710878093e-08,1.892649422562003e-08,4.49911557782504e-07,5.728047678227578e-07,1.0396966673671994e-06,7.12052066636794e-07,5.227189843932962e-07,5.715854212754414e-07,2.8659439421756187e-07,3.785298845124006e-07,2.869049313078626,JADES-DR3-GS-East,43130
53.15572869556544,5.800028071940281,-27.837183522052563,7.159736116344153e-08,7.274931500649278e-08,6.744724031542328e-08,7.951718396545772e-08,8.34944273633822e-08,9.174539603601481e-08,4.664404497553638e-08,4.8973953988483096e-08,1.4319472232688306e-06,1.4549863001298553e-06,1.3489448063084657e-06,1.5903436793091543e-06,1.669888547267644e-06,1.8349079207202962e-06,9.328808995107277e-07,9.79479079769662e-07,1.3890036716851748,JADES-DR3-GS-East,15006
53.19657174729409,6.384654464716851,-27.757063142296023,8.878299747872666e-10,2.0074726425871208e-09,6.503631971763649e-09,1.575098838338021e-08,2.015975130248877e-08,3.4342288369003594e-08,1.5987002736825577e-09,3.1955099536512756e-09,1.775659949574533e-08,4.0149452851742414e-08,1.30072639435273e-07,3.1501976766760424e-07,4.031950260497754e-07,6.868457673800719e-07,-4.836167669771649e-10,1.067227793445175e-08,3.606532055444853,JADES-DR3-GS-East,19573
53.193776130874525,5.730651553214067,-27.74786887030336,1.879772628149299e-08,2.235133289793734e-08,2.3249052159837508e-08,2.2451774401429093e-08,2.468641605253583e-08,2.4411178041249217e-08,1.1048385379210587e-08,1.20822618636837e-08,3.7595452562985977e-07,4.4702665795874685e-07,4.6498104319675013e-07,4.4903548802858185e-07,4.937283210507166e-07,4.882235608249843e-07,2.2096770758421175e-07,2.41645237273674e-07,2.3998848450652894,JADES-DR3-GS-East,24249
53.13114729149818,7.77458025254218,-27.77319321325613,1.1683774368203183e-07,2.3104926058773182e-07,3.335871362219109e-07,4.33866559728879e-07,6.33063864067606e-07,9.059814941581969e-07,3.19104038783532e-08,5.411205732919775e-08,2.3367548736406368e-06,4.620985211754636e-06,6.671742724438217e-06,8.67733119457758e-06,1.266127728135212e-05,1.811962988316394e-05,6.38208077567064e-07,1.082241146583955e-06,2.2248134462435427,JADES-DR3-GS-East,46496
53.12952716653932,6.499991834878844,-27.799652435209527,4.294664170812581e-09,1.1074167324899132e-08,1.9724864211180437e-08,3.549231872916301e-08,6.176842848899767e-08,8.570368907074906e-08,9.583067852878696e-10,1.8386168015881589e-09,8.589328341625161e-08,2.2148334649798264e-07,3.9449728422360874e-07,7.098463745832602e-07,1.2353685697799533e-06,1.7140737814149812e-06,1.9166135705757392e-08,2.825504074021182e-08,2.61422145474087,JADES-DR3-GS-East,40808
